Category,Skill,Question,OptionA,OptionB,OptionC,OptionD,CorrectAnswer,Explanation
Plan AI-powered business solutions,Analyze requirements for AI-powered business solutions,"A finance team wants an agent to summarize invoices, flag anomalies, and recommend next steps. What should the architect assess first?",Whether invoices can be deleted after processing,Whether the app can be replaced by email rules only,"Whether agents are appropriate for task automation, analytics, and decision support in the process",Whether all users can become tenant admins,C,The architect should first evaluate the business process and determine where agents add value.
Plan AI-powered business solutions,Analyze requirements for AI-powered business solutions,A business process uses outdated and duplicate customer records. What should be reviewed before grounding an AI solution on this data?,Only the font used in customer reports,The color of the Dynamics 365 app theme,The number of Teams reactions,"Accuracy, relevance, timeliness, cleanliness, and availability of the data",D,Grounding data quality directly affects AI response quality and reliability.
Plan AI-powered business solutions,Analyze requirements for AI-powered business solutions,"A team wants AI outputs grounded in policies, product catalogs, and case history. What is the main data design concern?",Organize reliable business data so it is available to AI systems with proper access controls,Use only screenshots as knowledge sources,Store all documents in one public folder,Avoid metadata and ownership information,A,"AI systems need organized, accessible, governed knowledge sources."
Plan AI-powered business solutions,Analyze requirements for AI-powered business solutions,An agent will assist with high-impact customer refund decisions. What requirement should be emphasized?,Fully autonomous approvals with no review,Decision support with human oversight and clear constraints,Ignoring audit trails to improve speed,Allowing the agent to bypass policy documents,B,"High-impact decisions require controls, review, and defined boundaries."
Plan AI-powered business solutions,Design overall AI strategy for business solutions,A company is beginning enterprise AI adoption on Azure. Which framework concept should guide the adoption process?,A GitHub star ranking,A personal spreadsheet checklist only,Cloud Adoption Framework for Azure,A single unmanaged proof of concept,C,The Cloud Adoption Framework provides guidance for cloud and AI adoption planning.
Plan AI-powered business solutions,Design overall AI strategy for business solutions,"A solution needs Microsoft 365 Copilot, Copilot Studio agents, and Microsoft Foundry models to work together. What is the architect designing?",A single static FAQ page,A password reset workflow only,A manual email template,A multi-agent and multi-platform AI business solution,D,"Multi-platform AI solutions may combine Microsoft 365 Copilot, Copilot Studio, and Foundry."
Plan AI-powered business solutions,Design overall AI strategy for business solutions,When should prebuilt agents be considered?,When existing Microsoft agents already satisfy or nearly satisfy the business scenario,When the use case requires a brand-new model every time,When no business requirement exists,When all data must be public,A,Prebuilt agents can reduce effort when they match the scenario.
Plan AI-powered business solutions,Design overall AI strategy for business solutions,A Copilot Studio agent must never provide pricing discounts above a defined limit. What should be specified?,A generic greeting only,Solution rules and constraints,Unrestricted reasoning mode,Repository stars,B,Rules and constraints define safe and appropriate agent behavior.
Plan AI-powered business solutions,Design overall AI strategy for business solutions,A support agent should answer from troubleshooting articles and product manuals. What design choice is most relevant?,Use no knowledge source and let the agent guess,Disable grounding entirely,Use generative AI with approved knowledge sources in Copilot Studio,Create a finance-only Dynamics app,C,Knowledge sources ground generative AI responses in approved content.
Plan AI-powered business solutions,Design overall AI strategy for business solutions,A sales team wants Copilot to use organization-specific sales playbooks. When should extension be considered?,When only a simple one-time prompt is needed,When the requirement is unrelated to Microsoft 365,When all content must be anonymous public data,When Microsoft 365 Copilot needs to be extended with custom knowledge or actions,D,Extending Copilot is appropriate when native capabilities need custom business context or actions.
