Category,Skill,Question,OptionA,OptionB,OptionC,OptionD,CorrectAnswer,Explanation
Understand Git and GitHub basics,Version control fundamentals,A teammate wants to experiment without affecting the stable code. What should they create?,A passkey,A sponsor profile,A branch,A license,C,A branch lets users isolate experimental work from the stable default branch.
Understand Git and GitHub basics,Version control fundamentals,Which Git feature helps you return to a previous version of a project?,Profile followers,GitHub Marketplace,Repository stars,Commit history,D,Commit history records project changes and can help restore or inspect earlier states.
Understand Git and GitHub basics,Version control fundamentals,What is the best reason to commit small logical changes?,"They are easier to review, understand, and revert if needed",They automatically increase repository traffic,They replace pull requests,They disable merge conflicts permanently,A,Small focused commits improve review quality and project history.
Understand Git and GitHub basics,Version control fundamentals,Which action downloads a remote GitHub repository to your computer?,Star,Clone,Merge,Assign,B,Cloning creates a local copy of a remote repository.
Understand Git and GitHub basics,Version control fundamentals,Which action sends your local commits to GitHub?,Pull,Follow,Push,Watch,C,Push uploads local commits to the remote repository.
Understand Git and GitHub basics,Version control fundamentals,Which action retrieves changes from GitHub into your local repository?,Fork only,Archive,Star,Pull,D,Pull downloads and integrates remote changes into a local repository.
Understand Git and GitHub basics,Version control fundamentals,Why is Git considered distributed?,Each clone can contain the full project history,Only GitHub can store commits,It only works online,It requires a central server for every action,A,Git is distributed because contributors can have local copies of repository history.
Understand Git and GitHub basics,Version control fundamentals,What usually causes a merge conflict?,A README uses Markdown,Two changes affect the same part of a file in incompatible ways,A user enables notifications,A repository receives a star,B,Git needs user input when overlapping changes cannot be merged automatically.
Understand Git and GitHub basics,Working with GitHub,Which GitHub feature is used to propose changes from one branch into another?,Project insight,Gist,Pull request,Passkey,C,Pull requests propose changes and support review before merging.
Understand Git and GitHub basics,Working with GitHub,"In GitHub Flow, what normally happens after opening a pull request?",The account becomes Enterprise automatically,The repository is deleted,All issues are archived,"Review, discussion, checks, and then merge if approved",D,GitHub Flow uses pull requests for review and validation before merging.
Understand Git and GitHub basics,Working with GitHub,What is the main difference between Git and GitHub?,Git tracks versions locally; GitHub hosts repositories and collaboration features,GitHub is a programming language; Git is a browser,There is no difference,Git is only mobile; GitHub is only desktop,A,"Git is the version control system, while GitHub is a platform built around Git repositories."
Understand Git and GitHub basics,Working with GitHub,Which tool is best for quick repository edits directly in a browser?,Repository Insights,github.dev,GitHub Mobile only,GitHub Sponsors,B,github.dev provides a lightweight browser-based editor.
Understand Git and GitHub basics,Working with GitHub,What does GitHub Mobile help users do?,Replace all repository permissions,Manage local disk partitions,Review notifications and collaborate while away from a computer,Run full production databases,C,GitHub Mobile is useful for staying connected to collaboration activity.
Understand Git and GitHub basics,Working with GitHub,Which Markdown syntax makes text bold?,//text//,==text==,##[text],**text**,D,Double asterisks are commonly used for bold text in Markdown.
Understand Git and GitHub basics,Working with GitHub,Which account type is best when several people need shared ownership of repositories?,Organization account,Anonymous gist,Single personal account shared by everyone,Browser-only account,A,"Organizations are designed to manage teams, repositories, and shared permissions."
Work with GitHub repositories,Repository management,A new contributor wants to understand how to run the project. Which file should they check first?,CODEOWNERS,README,Repository stars,Dependabot log,B,"The README usually explains project purpose, setup, and usage."
Work with GitHub repositories,Repository management,A company wants every new repo to include the same starter files. What should it use?,Repository star,GitHub Mobile,Template repository,Fork deletion,C,Template repositories help create new repositories from a standard structure.
Work with GitHub repositories,Repository management,Which file helps route code reviews to the right team automatically?,LICENSE,Gist,README only,CODEOWNERS,D,CODEOWNERS maps files or paths to responsible reviewers.
Work with GitHub repositories,Repository management,Which file tells users how they are allowed to use and redistribute code?,LICENSE,CODEOWNERS,Issue template,SECURITY,A,The LICENSE file defines legal usage terms.
Work with GitHub repositories,Repository management,Which file should explain how to responsibly disclose vulnerabilities?,followers.md,SECURITY.md,stars.json,README.local,B,SECURITY.md usually describes vulnerability reporting procedures.
Work with GitHub repositories,Repository management,What is the purpose of an issue template?,To create a passkey,To make a repository public,To collect consistent information from people opening issues,To automatically merge all pull requests,C,"Templates help gather useful details for bugs, feature requests, or tasks."
Work with GitHub repositories,Repository management,What is the purpose of a pull request template?,To replace branch protection,To store secrets,To generate invoices,To guide authors to include required context for review,D,Pull request templates standardize information needed during review.
Work with GitHub repositories,Repository management,A maintainer wants to see repository clones and views. Which area should they use?,Repository Insights,Gists,Passkey settings,GitHub Sponsors,A,Repository Insights includes traffic and activity metrics.
Work with GitHub repositories,Repository management,What does a repository star usually signal?,Guaranteed code quality,Interest or bookmarking by a user,A required security review,Admin permission,B,Stars often indicate interest or are used as bookmarks.
Work with GitHub repositories,Repository management,Why should stale branches be cleaned up when no longer needed?,To increase repository stars,To bypass reviews,To reduce clutter and improve repository maintainability,To remove all commit history,C,Deleting obsolete branches keeps repositories easier to navigate.
Work with GitHub repositories,Repository management,What is a good reason to use topics on a repository?,To replace README content entirely,To enforce 2FA,To store API keys,To improve classification and discoverability,D,Topics help users discover repositories by technology or subject.
Work with GitHub repositories,Repository management,Which repository file is best for explaining how people should contribute?,CONTRIBUTING.md,profile.png,stars.csv,package-lock.json only,A,CONTRIBUTING.md explains contribution expectations and workflow.
Collaborate using GitHub,Collaboration tools,A user reports a bug. Where should it commonly be tracked?,Passkey,Issue,Organization invoice,Repository star,B,Issues are commonly used to track bugs and tasks.
Collaborate using GitHub,Collaboration tools,A developer has fixed a bug on a branch and wants review before merging. What should they open?,Wiki page,Sponsor tier,Pull request,Gist,C,"Pull requests allow review, checks, and discussion before merging."
Collaborate using GitHub,Collaboration tools,Which GitHub feature is best for broad Q&A and community conversation?,Branch protection,Commit hash,License file,Discussions,D,Discussions support open-ended questions and community conversations.
Collaborate using GitHub,Collaboration tools,Which field helps identify who is responsible for an issue?,Assignee,Star count,Repository visibility,License type,A,Assignees clarify ownership of work.
Collaborate using GitHub,Collaboration tools,"Which metadata helps categorize issues as bugs, enhancements, or documentation?",Branches only,Labels,Followers,Passkeys,B,Labels classify and filter issues and pull requests.
