Category,Skill,Question,OptionA,OptionB,OptionC,OptionD,CorrectAnswer,Explanation
Plan and configure agent solutions,Plan an agent solution,"A company wants a Copilot Studio agent to answer HR policy questions, open service tickets, and escalate sensitive cases. What should be planned first?",A public anonymous deployment to every channel,The agent avatar color only,A single fallback message with no knowledge sources,"The agent scope, target users, actions, escalation path, and governance requirements",D,"An agent solution should start with clear scope, audience, actions, controls, and governance."
Plan and configure agent solutions,Plan an agent solution,A support department wants the agent to both answer questions and create cases in Dynamics 365. Which planning concern is most important?,Using only static text responses,Removing all authentication,Integration with enterprise systems and business process boundaries,Changing the agent greeting every week,C,Agents that perform business actions need integration and clear boundaries.
Plan and configure agent solutions,Plan integration with enterprise systems,An agent must retrieve order status from an ERP system. What should be planned?,A hardcoded sample response,"A secure connector, API, or action that can access the ERP data",A manually copied screenshot folder,A public web search only,B,"Enterprise integration should use secure, maintainable connectors or APIs."
Plan and configure agent solutions,Plan integration with enterprise systems,A backend API requires OAuth and role-based permissions. What should the agent architect consider?,"Authentication, authorization, connection ownership, and least-privilege access",Only the visual design of the topic,Removing API security for easier access,Letting all users share one admin token,A,Secure integrations require proper identity and access design.
Plan and configure agent solutions,Plan identity strategy,An internal agent should perform actions as the signed-in user where possible. What identity strategy does this support?,Hardcoded credentials in topic instructions,Anonymous access to all systems,A shared global admin connection for all calls,User-delegated access with permissions aligned to the user's role,D,User-delegated identity helps maintain accountability and least privilege.
Plan and configure agent solutions,Plan identity strategy,An agent will be used by external customers and internal employees. What should identity planning include?,One unrestricted anonymous identity for everyone,No audit trail because users are external,"Separate authentication, authorization, and data access rules for each audience",A single public knowledge source with all internal data,C,Different audiences require different identity and access designs.
Plan and configure agent solutions,Plan channels and deployment,A company wants the same agent available in Teams for employees and on a website for customers. What must be planned?,Publishing the employee agent publicly without changes,"Channel-specific behavior, authentication, security, and deployment settings",Only one generic greeting with no channel review,Disabling all identity checks,B,"Different channels can require different security, UX, and deployment choices."
Plan and configure agent solutions,Plan channels and deployment,An agent contains internal-only troubleshooting steps. Which deployment choice is safest?,Deploy only to authenticated internal channels such as Teams with proper access controls,Send the agent link to every customer,Publish it publicly on a website,Allow anonymous users to view all topics,A,Internal content should be limited to appropriate authenticated channels.
Plan and configure agent solutions,Plan responsible AI strategy,A customer-facing agent may provide incorrect refund guidance. What responsible AI strategy should be planned?,Allowing the agent to invent policy exceptions,Removing feedback collection,Publishing without test data,"Grounding, disclaimers, escalation, testing, monitoring, and human review for high-risk cases",D,Responsible AI planning reduces risk from inaccurate or harmful responses.
Plan and configure agent solutions,Plan responsible AI strategy,An agent answers medical benefits questions for employees. Which control is most important?,Using only creative response mode,Disabling audit logs,"Clear limitations, source grounding, privacy protection, and escalation to qualified support",Encouraging the agent to guess uncertain answers,C,Sensitive topics require extra responsible AI and privacy controls.
Plan and configure agent solutions,Evaluate security and governance considerations,An agent can call APIs that update customer records. What governance control is needed?,A shared password in the prompt,"Approval, monitoring, auditing, and least-privilege access for actions",Public anonymous access to all update actions,No logging to reduce storage,B,Agents that change records require strong governance and traceability.
Plan and configure agent solutions,Evaluate security and governance considerations,Which risk is most directly related to a prompt injection attack?,A malicious instruction attempts to manipulate the agent into ignoring rules or exposing data,The agent uses a branded greeting,The agent has a short description,A normal user asks for business hours,A,Prompt injection tries to override instructions or trigger unsafe behavior.
Plan and configure agent solutions,Plan reuseable agent components,A company builds many agents that use the same order lookup action. What design improves reuse?,Copy and paste different unmanaged versions everywhere,Hardcode order numbers in each topic,Avoid parameters to make reuse impossible,"Create a reusable connector, action, or shared component with standard inputs and outputs",D,Reusable components reduce duplication and improve consistency.
Plan and configure agent solutions,Plan reuseable agent components,Why should agent components use clear input and output parameters?,They prevent monitoring,They remove the need for authentication,"They make actions reusable, testable, and easier to integrate across topics or agents",They make responses less predictable,C,Well-defined parameters improve reuse and integration.
Plan and configure agent solutions,Design agents for internal or external audiences,An external customer agent must not expose internal troubleshooting notes. What should be designed?,A single shared knowledge base with all internal and external content,"Audience-specific knowledge, permissions, topics, and response constraints",A hidden prompt telling users not to ask sensitive questions,Unrestricted anonymous access to internal documents,B,Audience-specific design helps prevent inappropriate data exposure.
Plan and configure agent solutions,Design agents for internal or external audiences,An internal IT agent can take device remediation actions. What should be different from a public FAQ agent?,"Stronger authentication, role-based access, audit trails, and approval paths",No error handling,No identity requirement,Public anonymous deployment,A,Internal action-taking agents require stronger controls.
Plan and configure agent solutions,Create and monitor agent flows in Copilot Studio,"A topic needs to collect user details, check eligibility, create a case, and return a confirmation. What should be created?",A custom channel icon,A static greeting only,A public FAQ page,An agent flow,D,Agent flows orchestrate multi-step processes.
Plan and configure agent solutions,Create and monitor agent flows in Copilot Studio,A refund request over a threshold must be approved by a supervisor before the agent proceeds. What should be used?,A disabled topic,A hardcoded approval response,A human-in-the-loop agent flow,A fully anonymous automated action,C,Human-in-the-loop flows add review and approval for sensitive or high-impact actions.
Plan and configure agent solutions,Create and monitor agent flows in Copilot Studio,An agent flow needs to send data to a CRM and receive the created case ID. What should be configured?,Only adaptive card styling,"Actions, connectors, input parameters, and output parameters",Only a welcome message,Only a channel deployment,B,Connectors and parameters allow flows to exchange data with systems.
