Category,Skill,Question,OptionA,OptionB,OptionC,OptionD,CorrectAnswer,Explanation
Understand Git and GitHub basics,Version control fundamentals,What is the main purpose of version control?,To track changes over time and help teams collaborate safely,To automatically write code without developers,To replace all project documentation,To publish websites only,A,"Version control records changes, supports collaboration, and allows teams to review or restore earlier versions."
Understand Git and GitHub basics,Version control fundamentals,Which statement best describes Git?,A distributed version control system,A cloud hosting provider only,A project management board,A package manager for JavaScript,A,Git is the distributed version control system used to track source code changes.
Understand Git and GitHub basics,Version control fundamentals,Which statement best describes GitHub?,A platform for hosting Git repositories and collaborating on software,A replacement for every local Git command,An operating system for developers,A database engine for source code,A,"GitHub hosts Git repositories and adds collaboration features like pull requests, issues, Actions, and Projects."
Understand Git and GitHub basics,Version control fundamentals,What is a repository?,"A project folder tracked by Git, including files and history",A single saved password,Only the README file,A temporary browser cache,A,A repository contains project files and their version history.
Understand Git and GitHub basics,Version control fundamentals,What is a commit?,A saved snapshot of changes in a repository history,A user account type,A security vulnerability report,A branch deletion request,A,"A commit records a specific set of changes with metadata such as author, date, and message."
Understand Git and GitHub basics,Version control fundamentals,What is a branch used for?,To develop changes separately from the main line of work,To encrypt a repository,To permanently delete old commits,To create billing accounts,A,Branches let users work on features or fixes without directly changing the default branch.
Understand Git and GitHub basics,Working with GitHub,What is GitHub Flow?,"A lightweight workflow using branches, commits, pull requests, reviews, and merges",A required desktop installation process,A billing workflow for organizations,A backup process for mobile devices,A,GitHub Flow is a collaboration model where changes are made on branches and reviewed through pull requests before merging.
Understand Git and GitHub basics,Working with GitHub,Which GitHub account type is generally used by one person?,Personal account,Organization account,Enterprise account,Bot-only account,A,A personal account represents an individual user.
Understand Git and GitHub basics,Working with GitHub,What is a GitHub organization used for?,"Grouping people, repositories, permissions, and collaboration under a shared account",Running Git locally without internet,Replacing all issue tracking,Creating only private gists,A,"Organizations help teams manage repositories, members, roles, and permissions."
Understand Git and GitHub basics,Working with GitHub,What is GitHub Enterprise designed for?,"Large organizations that need advanced governance, security, compliance, and administration",Only students learning Git,Only open-source hobby projects,Only mobile app development,A,"GitHub Enterprise provides organization-scale administration, security, and policy controls."
Understand Git and GitHub basics,Working with GitHub,Where is Markdown commonly used on GitHub?,"README files, issues, pull requests, discussions, and comments",Only binary image files,Only billing pages,Only SSH keys,A,Markdown is used to format text clearly across GitHub collaboration surfaces.
Understand Git and GitHub basics,Working with GitHub,When is GitHub Desktop especially useful?,When users want a graphical interface for common Git and GitHub workflows,When users need to manage enterprise billing,When users want to replace GitHub Actions,When users need to create passkeys only,A,"GitHub Desktop provides a GUI for cloning, committing, branching, and syncing repositories."
Understand Git and GitHub basics,Working with GitHub,What is GitHub Mobile useful for?,"Managing notifications, reviewing issues, and collaborating while away from a computer",Compiling production binaries only,Replacing GitHub Enterprise policies,Hosting local repositories offline only,A,GitHub Mobile helps users stay connected to GitHub activity from a phone or tablet.
Understand Git and GitHub basics,Version control fundamentals,What is the benefit of distributed version control?,Each contributor can have a full copy of the repository history locally,Only one person can work at a time,The repository cannot have branches,Commits are never stored locally,A,"With Git, developers can work locally with repository history and sync changes with remotes."
Work with GitHub repositories,Repository management,What is the purpose of a README file?,To introduce the project and explain how to use or contribute to it,To store encrypted passwords,To define billing limits,To replace every issue template,A,README files usually provide the main overview and usage instructions for a repository.
