Category,Skill,Question,OptionA,OptionB,OptionC,OptionD,CorrectAnswer,Explanation
Understand generative AI fundamentals,Generative AI capabilities across Microsoft 365 experiences,A manager wants Copilot to summarize a long Word policy document into key risks and action items. Which Copilot capability is most relevant?,Bypassing document permissions,Summarizing and transforming existing business content,Creating a new mailbox rule,Changing tenant licensing automatically,B,Copilot can help summarize and transform content the user has permission to access.
Understand generative AI fundamentals,Generative AI capabilities across Microsoft 365 experiences,A user asks Copilot in Excel to identify trends in a table of quarterly sales. What type of task is this?,Data analysis and insight generation,Device compliance enforcement,Identity provisioning,Mailbox migration,A,Copilot can assist with analyzing business data and identifying patterns in supported Microsoft 365 apps.
Understand generative AI fundamentals,Generative AI capabilities across Microsoft 365 experiences,A sales employee wants to draft a professional follow-up email based on meeting notes. Which Microsoft 365 Copilot experience is most relevant?,SharePoint storage quota settings,Microsoft Defender quarantine only,Entra ID password reset,Copilot in Outlook or Microsoft 365 Chat,D,Copilot can help draft communications using context such as notes and prior content.
Understand generative AI fundamentals,Generative AI capabilities across Microsoft 365 experiences,A project lead wants Copilot to turn bullet points into a presentation outline. Which app experience is most likely appropriate?,OneDrive sync repair,Microsoft Purview audit log only,Copilot in PowerPoint,Teams phone settings,C,Copilot in PowerPoint can help create or refine presentations from prompts and source content.
Understand generative AI fundamentals,Privacy and security in Copilot,Why does Copilot not automatically reveal files a user cannot normally access?,It disables sensitivity labels by default,It respects Microsoft 365 permissions and access controls,It ignores all tenant permissions,It shares all indexed data with every user,B,Copilot responses are grounded in data the user is authorized to access.
Understand generative AI fundamentals,Privacy and security in Copilot,A user asks Copilot for salary information stored in a restricted HR file they cannot access. What should happen?,Copilot should not use restricted content the user lacks permission to access,Copilot should email the HR file to the user,Copilot should reveal the content if the prompt is specific,Copilot should remove the file permissions,A,Copilot is designed to respect existing organizational permissions.
Understand generative AI fundamentals,Privacy and security in Copilot,Which principle best explains how Copilot protects organizational information?,Users automatically receive admin access when prompting,Sensitivity labels are ignored during generation,All prompts are shared with all coworkers,"Responses are constrained by user permissions, policies, and data protection controls",D,Security and compliance controls help limit what Copilot can access and return.
Understand generative AI fundamentals,Context and grounding,A user asks Copilot to summarize 'the proposal' without referencing a file or chat. Why might the answer be weak?,Copilot only works with images,Copilot always refuses vague prompts,The prompt lacks enough context for Copilot to identify the correct proposal,Copilot cannot summarize documents,C,Better context generally improves Copilot response quality.
Understand generative AI fundamentals,Context and grounding,A user references a specific Word file in a prompt. How can this affect Copilot's answer?,It prevents citations from being used,It can ground the response in that referenced document if the user has access,It guarantees the answer is legally approved,It bypasses all file permissions,B,Referenced resources can provide grounding context for Copilot responses.
Understand generative AI fundamentals,Context and grounding,A user asks Copilot a question while working inside Teams. Why might the app context matter?,"Copilot may use meeting, chat, or collaboration context relevant to that app experience",Copilot ignores the current app completely in all cases,Copilot only uses local device files,Copilot changes the user's password automatically,A,The app experience can influence available context and capabilities.
Understand generative AI fundamentals,Chat versus agent experiences,What is the best description of a chat experience in Copilot?,A mandatory replacement for all Microsoft 365 apps,A database permission model,A fixed workflow that only runs once per month,A conversational interface where users ask questions or request tasks directly,D,Chat experiences support interactive prompts and responses.
Understand generative AI fundamentals,Chat versus agent experiences,What is the best description of an agent experience?,A device enrollment policy,A basic spell checker only,"A configured AI experience with specific instructions, knowledge, and capabilities for a purpose",A tenant billing report,C,"Agents can be configured for specialized tasks using instructions, knowledge, and capabilities."
Understand generative AI fundamentals,Agent use cases,When is creating a custom agent a good choice?,When a file must be made public,When a team needs a repeatable AI assistant for a specific business process or knowledge area,When a user only needs a one-time grammar correction,When the organization wants to delete all chats,B,"Custom agents are useful for reusable, specialized workflows or knowledge domains."
Understand generative AI fundamentals,Agent use cases,A helpdesk team wants a Copilot experience trained on internal support procedures and suggested troubleshooting prompts. What should they consider?,Creating a custom agent with relevant knowledge and instructions,Using only a blank Excel workbook,Turning off all SharePoint permissions,Deleting previous Copilot chats,A,"An agent can be configured with knowledge, instructions, capabilities, and suggested prompts."
Understand generative AI fundamentals,Copilot across Microsoft 365 apps,Which statement about Copilot across Microsoft 365 apps is most accurate?,Copilot in Excel cannot analyze any data,Copilot works identically in every app,Copilot in Word can manage Teams meetings without context,Capabilities vary by app because each app supports different content and workflows,D,"Copilot experiences differ across Word, Excel, PowerPoint, Outlook, Teams, and other apps."
Understand generative AI fundamentals,Copilot across Microsoft 365 apps,A user expects Excel Copilot and Outlook Copilot to provide the same buttons and workflows. What should they understand?,Excel Copilot only schedules meetings,Outlook Copilot can edit spreadsheet formulas directly,Different Microsoft 365 apps expose different Copilot features based on the app scenario,All Copilot apps have identical commands,C,Copilot capabilities are tailored to each app experience.
Understand generative AI fundamentals,Responsible AI and data protection practices,What is a fabrication in generative AI?,A valid citation to an authorized document,A confident-sounding response that contains incorrect or unsupported information,A scheduled prompt created by the user,A sensitivity label applied to a file,B,Fabrications are AI-generated inaccuracies that may appear plausible.
Understand generative AI fundamentals,Responsible AI and data protection practices,What is prompt injection?,An attempt to manipulate an AI system through malicious or hidden instructions,A Microsoft 365 license assignment,A normal file permission check,A valid Teams meeting transcript,A,Prompt injection attempts to override or manipulate AI behavior.
Understand generative AI fundamentals,Responsible AI and data protection practices,What is over-reliance on AI?,Using citations to verify a summary,Checking source documents before acting,Asking a human expert to review sensitive output,Trusting AI output without appropriate verification or judgment,D,Over-reliance occurs when users accept AI output without enough review.
Understand generative AI fundamentals,Responsible AI and data protection practices,A Copilot response includes an unexpected claim about legal obligations. What is the best next step?,Assume citations are unnecessary,Send it immediately to customers as legal advice,Verify the claim with authoritative sources or a qualified reviewer,Delete the source documents,C,High-impact or legal claims require careful verification and human review.
Understand generative AI fundamentals,Responsible AI and data protection practices,A generated management summary cites a document section. What should the user do before sending it to executives?,Remove all citations to make it shorter,Check that the cited section supports the summary accurately,Assume all generated summaries are perfect,Share the underlying restricted document with everyone,B,Citation checks help verify whether the response is grounded correctly.
Understand generative AI fundamentals,Responsible AI and data protection practices,A user asks Copilot to create a performance ranking using sensitive HR data. What risk should be considered?,Sensitive data exposure and inappropriate use of protected information,A faster PowerPoint animation,Too many repository stars,A Teams ringtone issue,A,"Sensitive data requires careful handling, permissions, and policy compliance."
Understand generative AI fundamentals,Responsible AI and data protection practices,Which task most clearly requires human review before action?,Summarizing public holiday names,Creating a casual lunch menu draft,Rewriting a low-risk meeting reminder,Sending AI-generated layoff recommendations to employees,D,High-impact employment decisions require careful human review.
Understand generative AI fundamentals,Responsible AI and data protection practices,How can data protection controls restrict Copilot prompt results?,They publish private files to the web,They force Copilot to answer every question with hidden data,They can prevent Copilot from accessing or returning protected content outside allowed permissions and policies,They remove all user permissions from SharePoint,C,Data protection controls help restrict access and output involving sensitive information.
Understand generative AI fundamentals,Responsible AI and data protection practices,A file has a sensitivity label limiting external sharing. How should Copilot behave?,Remove the label automatically,Respect the protection and avoid exposing restricted content inappropriately,Translate the file into a public link,Ignore the label when the prompt is detailed,B,Copilot is expected to work within data protection controls.
