Category,Skill,Question,OptionA,OptionB,OptionC,OptionD,CorrectAnswer,Explanation
Understand Git and GitHub basics,Version control fundamentals,Which action creates a new saved point in Git history?,Commit,Fork,Star,Watch,A,A commit creates a saved record of changes in the repository history.
Understand Git and GitHub basics,Version control fundamentals,Why is a clear commit message important?,It explains what changed and why,It makes the repository public,It automatically deploys the app,It deletes old branches,A,Commit messages help others understand the purpose of changes.
Understand Git and GitHub basics,Version control fundamentals,What does cloning a repository do?,Creates a local copy of a remote repository,Deletes a branch from GitHub,Creates a GitHub organization,Approves a pull request,A,Cloning downloads a repository so you can work with it locally.
Understand Git and GitHub basics,Version control fundamentals,What is the default branch commonly used for?,The main stable line of development,Temporary browser storage,The list of starred repositories,A private billing profile,A,The default branch commonly represents the primary version of the project.
Understand Git and GitHub basics,Version control fundamentals,What does pushing changes mean?,Uploading local commits to a remote repository,Downloading issues to a mobile app,Closing all pull requests,Creating a GitHub Sponsor profile,A,Pushing sends your local commits to a remote such as GitHub.
Understand Git and GitHub basics,Version control fundamentals,What does pulling changes mean?,Downloading and integrating changes from a remote repository,Creating a new enterprise account,Deleting repository insights,Approving a code review,A,Pulling brings remote changes into your local repository.
Understand Git and GitHub basics,Version control fundamentals,What is a remote in Git?,"A reference to a repository hosted elsewhere, such as on GitHub",A Markdown table,A repository license,A GitHub profile picture,A,A remote lets local Git repositories sync with hosted repositories.
Understand Git and GitHub basics,Version control fundamentals,What is the purpose of merging?,Combining changes from one branch into another,Making a repository private,Creating a passkey,Removing all commit history,A,Merging integrates changes between branches.
Understand Git and GitHub basics,Version control fundamentals,What is a merge conflict?,A situation where Git needs help deciding how to combine changes,A failed login attempt,A deleted GitHub Project,A repository sponsorship request,A,Conflicts happen when overlapping changes cannot be combined automatically.
Understand Git and GitHub basics,Working with GitHub,Which feature is commonly used to review proposed changes before merging?,Pull request,Star,Follow,Marketplace listing,A,Pull requests allow review and discussion before changes are merged.
Understand Git and GitHub basics,Working with GitHub,"In GitHub Flow, where should a new feature usually be developed?",On a separate branch,Directly in billing settings,Inside a GitHub Sponsor page,Only in notifications,A,GitHub Flow encourages creating a branch for changes before opening a pull request.
